Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100)
443,Jason Cummings,"Machine Learning, SQL, Deep Learning",7,MBA,Google ML,Data Scientist,Hire,79303,6,100
1780,Candidate 1780,"Machine Learning, SQL",15,B.Sc,Google ML,AI Researcher,Hire,54343,8,58
219,John James,"Linux, Networking, Cybersecurity, Ethical Hacking",1,B.Sc,None,Cybersecurity Analyst,Hire,40222,10,80
108,Michael Lewis,"Python, Deep Learning, Machine Learning",2,B.Tech,Deep Learning Specialization,Data Scientist,Reject,98024,2,55
898,Patricia Dunn,"TensorFlow, NLP, Python, Pytorch",8,M.Tech,Google ML,AI Researcher,Hire,100399,7,100
737,Matthew Reed,"Ethical Hacking, Linux, Networking",3,M.Tech,None,Cybersecurity Analyst,Reject,95288,3,60
1324,Candidate 1324,"Machine Learning, Python, Deep Learning",5,M.Tech,Google ML,Cybersecurity Analyst,Reject,102248,20,94
481,Andrew Moore,"Machine Learning, Python, SQL",0,MBA,Google ML,Data Scientist,Reject,116814,5,50
1817,Candidate 1817,"React, SQL, C++",1,MBA,AWS Certified,Cybersecurity Analyst,Hire,131870,17,16
60,Sarah Kane,"Java, React",6,PhD,Google ML,Software Engineer,Hire,80278,4,100
1905,Candidate 1905,"C++, SQL, React",20,B.Tech,None,Cybersecurity Analyst,Reject,126194,20,46
1383,Candidate 1383,"Java, SQL",2,M.Tech,Google ML,Data Scientist,Reject,79471,7,33
1667,Candidate 1667,"Python, Pytorch, TensorFlow, NLP",16,M.Tech,None,Software Engineer,Reject,92906,7,71
1959,Candidate 1959,"TensorFlow, Python, Pytorch, NLP",12,PhD,AWS Certified,Cybersecurity Analyst,Reject,78332,18,8
830,Deborah Hughes,"Cybersecurity, Ethical Hacking, Networking, Linux",3,MBA,None,Cybersecurity Analyst,Hire,53096,7,85
1131,Candidate 1131,"Python, NLP",3,B.Tech,AWS Certified,Cybersecurity Analyst,Reject,66301,13,51
1342,Candidate 1342,"Pytorch, Python, TensorFlow",9,B.Tech,Deep Learning Specialization,Data Scientist,Reject,139693,3,45
482,Douglas Sampson,"Linux, Cybersecurity, Ethical Hacking, Networking",2,B.Tech,AWS Certified,Cybersecurity Analyst,Hire,59397,10,100
1205,Candidate 1205,"Pytorch, Python, TensorFlow",0,MBA,None,Cybersecurity Analyst,Hire,122102,2,20
1160,Candidate 1160,"Linux, Networking, Cybersecurity",3,MBA,Google ML,AI Researcher,Reject,49034,12,94
291,Olivia Montgomery,"TensorFlow, Python",2,PhD,Deep Learning Specialization,AI Researcher,Hire,73596,9,85
1534,Candidate 1534,"Python, NLP, Pytorch",4,MBA,Deep Learning Specialization,Cybersecurity Analyst,Reject,114966,11,76
806,Brian Welch,"TensorFlow, Python, NLP, Pytorch",9,M.Tech,Google ML,AI Researcher,Hire,68212,9,100
707,Bobby Palmer,"Java, SQL, React",3,MBA,AWS Certified,Software Engineer,Hire,104253,8,95
1875,Candidate 1875,"Machine Learning, SQL",1,MBA,Deep Learning Specialization,Software Engineer,Hire,121697,5,81
1276,Candidate 1276,"Java, React, C++, SQL",6,B.Sc,Google ML,AI Researcher,Hire,31832,1,63
579,Christopher Mcconnell,"SQL, Java, React, C++",3,M.Tech,Google ML,Software Engineer,Hire,52454,9,100
280,Kristen Santana,"Deep Learning, Machine Learning",0,PhD,Google ML,Data Scientist,Reject,73914,1,25
1419,Candidate 1419,"Python, Deep Learning",13,PhD,Deep Learning Specialization,Data Scientist,Hire,127115,9,29
1363,Candidate 1363,"Deep Learning, Machine Learning, Python, SQL",3,B.Tech,Google ML,Software Engineer,Reject,112908,11,62
1,Ashley Ali,"TensorFlow, NLP, Pytorch",10,B.Sc,None,AI Researcher,Hire,104895,8,100
1427,Candidate 1427,"Java, C++, React",3,M.Tech,Google ML,Data Scientist,Reject,93974,7,43
1729,Candidate 1729,"NLP, Pytorch, TensorFlow",5,B.Tech,None,AI Researcher,Reject,39500,3,64
1846,Candidate 1846,"Networking, Cybersecurity, Ethical Hacking, Linux",11,M.Tech,Google ML,Cybersecurity Analyst,Hire,100871,14,81
965,Jason Jackson,"Cybersecurity, Linux, Ethical Hacking",2,PhD,None,Cybersecurity Analyst,Hire,51721,10,85
1254,Candidate 1254,"Ethical Hacking, Cybersecurity, Linux",18,MBA,AWS Certified,Software Engineer,Hire,81244,4,17
1012,Candidate 1012,"Linux, Cybersecurity",2,MBA,None,AI Researcher,Reject,140005,2,26
248,Ashley Moore,"Deep Learning, Machine Learning, SQL",5,B.Sc,Google ML,Data Scientist,Hire,41593,4,95
1426,Candidate 1426,"C++, SQL, Java",20,M.Tech,Google ML,Software Engineer,Hire,72171,10,81
112,Richard Jones MD,"Machine Learning, SQL, Deep Learning",5,B.Tech,Deep Learning Specialization,Data Scientist,Hire,59033,4,95
1977,Candidate 1977,"Machine Learning, Python, Deep Learning, SQL",10,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,73565,10,19
1408,Candidate 1408,"Ethical Hacking, Networking",17,B.Tech,None,AI Researcher,Reject,119997,5,43
1794,Candidate 1794,"C++, React, SQL, Java",13,MBA,Google ML,Cybersecurity Analyst,Reject,139218,15,27
1510,Candidate 1510,"SQL, Machine Learning",1,B.Sc,None,Software Engineer,Reject,139994,6,99
1516,Candidate 1516,"SQL, C++, React",5,M.Tech,Google ML,Software Engineer,Hire,76023,18,46
651,Anna Burch,"Python, Pytorch, NLP, TensorFlow",4,PhD,Deep Learning Specialization,AI Researcher,Hire,50369,8,100
1968,Candidate 1968,"Deep Learning, Python, SQL, Machine Learning",0,B.Sc,AWS Certified,AI Researcher,Hire,136279,1,15
47,Terry Burns,"SQL, Java, C++, React",4,MBA,AWS Certified,Software Engineer,Hire,50602,9,100
1559,Candidate 1559,"Machine Learning, Python, Deep Learning",18,M.Tech,Google ML,Data Scientist,Reject,108150,9,5
1801,Candidate 1801,"Networking, Linux",9,M.Tech,None,Data Scientist,Reject,116769,15,76
176,Dillon Hoffman,"SQL, Machine Learning, Python, Deep Learning",9,B.Sc,Google ML,Data Scientist,Hire,57223,2,100
279,Trevor Freeman,"Cybersecurity, Networking, Ethical Hacking",6,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,53165,8,100
1136,Candidate 1136,"Python, Deep Learning, SQL, Machine Learning",3,B.Tech,None,Software Engineer,Hire,38281,19,74
1553,Candidate 1553,"Python, SQL, Machine Learning, Deep Learning",14,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Reject,92981,20,19
485,Laurie Wilson,"C++, Java, React, SQL",10,MBA,Deep Learning Specialization,Software Engineer,Hire,103925,9,100
431,John Owens,"Pytorch, NLP",4,B.Tech,Google ML,AI Researcher,Hire,52692,10,100
530,Denise Cruz,"TensorFlow, NLP, Pytorch, Python",4,M.Tech,AWS Certified,AI Researcher,Hire,48906,7,100
1520,Candidate 1520,"C++, React, SQL, Java",5,B.Sc,Google ML,Software Engineer,Reject,35952,1,11
692,Chelsea Harris,"NLP, Python, TensorFlow",7,MBA,AWS Certified,AI Researcher,Hire,49447,10,100
1962,Candidate 1962,"Ethical Hacking, Linux, Networking",15,M.Tech,Google ML,Cybersecurity Analyst,Reject,135913,11,23
417,Amanda Burke,"Deep Learning, SQL, Machine Learning, Python",1,MBA,AWS Certified,Data Scientist,Reject,86355,4,60
890,Mrs. Heather Williams MD,"Python, Machine Learning, Deep Learning, SQL",7,M.Tech,Google ML,Data Scientist,Hire,112572,5,100
218,William Murphy,"TensorFlow, Python, NLP, Pytorch",8,MBA,AWS Certified,AI Researcher,Hire,70446,8,100
489,Lindsay Christian,"C++, React, SQL, Java",1,M.Tech,Google ML,Software Engineer,Hire,49305,9,85
1972,Candidate 1972,"C++, React",12,B.Sc,AWS Certified,Data Scientist,Hire,57600,8,28
1406,Candidate 1406,"Java, React",14,PhD,Deep Learning Specialization,AI Researcher,Hire,145512,12,49
1112,Candidate 1112,"NLP, TensorFlow, Python",1,M.Tech,None,Software Engineer,Hire,144096,3,50
904,James Grimes,"Pytorch, Python",9,PhD,Deep Learning Specialization,AI Researcher,Hire,97435,7,100
926,Colleen Conner,"C++, React, SQL, Java",5,PhD,Deep Learning Specialization,Software Engineer,Hire,101120,5,100
913,Krystal Cole,"Pytorch, Python, NLP",10,M.Tech,None,AI Researcher,Hire,89696,3,100
1470,Candidate 1470,"Ethical Hacking, Linux, Cybersecurity, Networking",10,MBA,AWS Certified,AI Researcher,Reject,49336,13,23
728,Jennifer Morgan MD,"SQL, Machine Learning, Deep Learning",3,PhD,None,Data Scientist,Reject,91090,2,55
1756,Candidate 1756,"Java, C++, React, SQL",16,B.Sc,Google ML,Software Engineer,Reject,132970,4,23
1080,Candidate 1080,"Cybersecurity, Ethical Hacking",11,PhD,AWS Certified,Data Scientist,Reject,104509,17,71
826,Kelly Mejia,"Linux, Cybersecurity, Ethical Hacking",4,MBA,AWS Certified,Cybersecurity Analyst,Hire,67535,1,70
156,Anthony Neal,"Cybersecurity, Ethical Hacking, Networking, Linux",6,M.Tech,None,Cybersecurity Analyst,Hire,98876,2,90
450,Nicholas Hutchinson,"SQL, React, Java",0,M.Tech,None,Software Engineer,Reject,81417,0,15
1396,Candidate 1396,"Machine Learning, Deep Learning, Python",6,B.Tech,Google ML,Data Scientist,Reject,148424,2,66
377,Breanna Barrett,"C++, React",8,B.Sc,Deep Learning Specialization,Software Engineer,Hire,71077,7,100
1143,Candidate 1143,"Networking, Linux, Ethical Hacking, Cybersecurity",3,B.Tech,AWS Certified,Data Scientist,Reject,44528,0,34
1753,Candidate 1753,"Machine Learning, Python, Deep Learning, SQL",18,B.Sc,None,Data Scientist,Hire,70430,10,88
1967,Candidate 1967,"TensorFlow, NLP, Python",20,M.Tech,None,AI Researcher,Hire,142867,10,75
434,Kathryn Shea,"SQL, React, C++, Java",3,PhD,Deep Learning Specialization,Software Engineer,Hire,71138,8,100
953,Mary Thomas,"SQL, Machine Learning, Python, Deep Learning",6,B.Sc,Deep Learning Specialization,Data Scientist,Hire,53286,5,100
372,Donald Lawson,"React, Java, SQL",3,B.Sc,None,Software Engineer,Reject,118891,0,45
1278,Candidate 1278,"Deep Learning, Machine Learning, SQL, Python",19,PhD,Deep Learning Specialization,Data Scientist,Reject,144843,11,19
397,Leah Cain,"Machine Learning, Deep Learning, SQL, Python",3,M.Tech,AWS Certified,Data Scientist,Reject,93900,0,60
1422,Candidate 1422,"Python, Machine Learning, Deep Learning",0,M.Tech,AWS Certified,Software Engineer,Reject,67954,19,88
701,Sarah Robinson,"Networking, Cybersecurity, Ethical Hacking, Linux",4,B.Tech,None,Cybersecurity Analyst,Hire,113477,2,70
868,Samuel Mckinney,"Pytorch, Python, TensorFlow, NLP",5,MBA,Google ML,AI Researcher,Hire,109244,5,100
645,Gregory Martin,"Cybersecurity, Networking, Ethical Hacking, Linux",9,PhD,AWS Certified,Cybersecurity Analyst,Hire,41733,0,100
1458,Candidate 1458,"TensorFlow, NLP, Python, Pytorch",6,M.Tech,AWS Certified,Software Engineer,Reject,92411,1,87
666,Mrs. Monica Thomas MD,"C++, Java, SQL, React",10,PhD,None,Software Engineer,Hire,79684,8,100
1504,Candidate 1504,"Deep Learning, Machine Learning",9,MBA,AWS Certified,AI Researcher,Hire,141920,16,15
1428,Candidate 1428,"Cybersecurity, Ethical Hacking, Networking, Linux",18,PhD,Deep Learning Specialization,Software Engineer,Hire,107320,3,51
1633,Candidate 1633,"NLP, TensorFlow, Python, Pytorch",19,M.Tech,Deep Learning Specialization,AI Researcher,Reject,65373,7,89
421,Megan Smith,"Linux, Networking, Cybersecurity",6,MBA,None,Cybersecurity Analyst,Hire,59504,1,80
1481,Candidate 1481,"Linux, Ethical Hacking, Networking",20,B.Sc,Google ML,AI Researcher,Reject,143264,11,48
1165,Candidate 1165,"Linux, Networking",12,PhD,AWS Certified,Cybersecurity Analyst,Reject,147638,6,55
795,Jason Mayer,"TensorFlow, Python, NLP, Pytorch",10,B.Sc,Deep Learning Specialization,AI Researcher,Hire,82119,2,100
1592,Candidate 1592,"Deep Learning, Python",19,MBA,Google ML,AI Researcher,Hire,125129,7,27
247,Daniel Alvarado,"Cybersecurity, Ethical Hacking, Linux",7,MBA,AWS Certified,Cybersecurity Analyst,Hire,63157,4,100
1816,Candidate 1816,"Networking, Linux, Ethical Hacking",7,PhD,AWS Certified,Data Scientist,Hire,113967,6,53
735,Preston Martin,"Networking, Ethical Hacking",1,PhD,Google ML,Cybersecurity Analyst,Hire,117535,8,70
506,Robert Aguilar,"Networking, Ethical Hacking",0,PhD,Deep Learning Specialization,Cybersecurity Analyst,Reject,63561,5,45
441,Zoe King,"Deep Learning, Python, Machine Learning",9,MBA,Google ML,Data Scientist,Hire,105724,10,100
1190,Candidate 1190,"NLP, Python, TensorFlow, Pytorch",2,PhD,None,Data Scientist,Hire,66974,4,77
1373,Candidate 1373,"React, SQL, C++, Java",11,B.Sc,None,Software Engineer,Reject,95652,12,36
1444,Candidate 1444,"C++, Java, React",2,MBA,None,Data Scientist,Hire,125415,12,82
1615,Candidate 1615,"Python, Pytorch",16,PhD,Google ML,AI Researcher,Hire,112847,10,74
533,Sierra Edwards,"C++, SQL",5,M.Tech,Google ML,Software Engineer,Hire,41530,0,70
933,Peter Brown,"SQL, Java, C++",1,M.Tech,Deep Learning Specialization,Software Engineer,Hire,82007,10,85
109,Michael Jones,"Python, Machine Learning, SQL",4,B.Tech,None,Data Scientist,Hire,85884,6,85
1868,Candidate 1868,"Java, React",14,B.Tech,Google ML,Cybersecurity Analyst,Reject,102891,4,8
950,Elizabeth Fry,"Linux, Ethical Hacking, Networking",5,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,45733,0,75
414,Jonathan Lewis,"Pytorch, TensorFlow, NLP",1,MBA,AWS Certified,AI Researcher,Hire,64694,9,80
949,Alan Lewis,"Pytorch, TensorFlow, NLP, Python",10,B.Sc,Google ML,AI Researcher,Hire,50188,3,100
1206,Candidate 1206,"React, Java, C++",6,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Reject,117983,20,23
224,Jon Poole,"Java, SQL",8,M.Tech,Deep Learning Specialization,Software Engineer,Hire,96786,4,100
975,Vanessa Hampton,"TensorFlow, Pytorch, NLP, Python",1,B.Tech,AWS Certified,AI Researcher,Reject,86353,2,50
1958,Candidate 1958,"SQL, React, Java",6,MBA,AWS Certified,AI Researcher,Hire,116743,18,97
544,Sarah Jones,"Ethical Hacking, Networking",6,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,119478,2,90
1766,Candidate 1766,"TensorFlow, Python, NLP",20,B.Tech,Deep Learning Specialization,Software Engineer,Hire,99381,7,35
495,Dawn Price,"React, SQL, Java, C++",6,B.Tech,Deep Learning Specialization,Software Engineer,Hire,119018,0,90
935,Maria Green,"Python, SQL, Machine Learning",3,PhD,Google ML,Data Scientist,Reject,55365,1,60
260,Dr. Samantha Hill MD,"TensorFlow, Pytorch, Python",8,B.Tech,AWS Certified,AI Researcher,Hire,78090,6,100
1515,Candidate 1515,"Pytorch, Python, TensorFlow, NLP",20,B.Sc,None,Cybersecurity Analyst,Hire,124482,14,92
1779,Candidate 1779,"Networking, Linux",20,MBA,AWS Certified,Cybersecurity Analyst,Hire,41168,3,78
1863,Candidate 1863,"React, C++, Java",17,MBA,None,Cybersecurity Analyst,Reject,125668,15,11
1296,Candidate 1296,"Cybersecurity, Networking",11,B.Tech,Google ML,Software Engineer,Hire,51987,18,24
928,Bianca Montoya,"C++, SQL, Java, React",7,B.Sc,None,Software Engineer,Hire,117476,10,100
613,Dennis Wheeler,"NLP, Pytorch",8,B.Sc,AWS Certified,AI Researcher,Hire,41624,4,100
632,Nicholas Williams,"Linux, Ethical Hacking, Cybersecurity",8,PhD,Deep Learning Specialization,Cybersecurity Analyst,Hire,102480,5,100
1232,Candidate 1232,"Pytorch, TensorFlow",0,PhD,Google ML,Data Scientist,Hire,143978,7,49
220,Christina Sanchez,"Pytorch, TensorFlow, Python, NLP",10,PhD,Google ML,AI Researcher,Hire,99512,2,100
1130,Candidate 1130,"TensorFlow, NLP, Pytorch",2,B.Tech,Deep Learning Specialization,AI Researcher,Reject,94213,20,29
486,Matthew Gregory,"Ethical Hacking, Networking",8,B.Sc,None,Cybersecurity Analyst,Hire,69766,1,95
317,Richard Padilla,"Cybersecurity, Networking, Ethical Hacking, Linux",2,B.Sc,None,Cybersecurity Analyst,Reject,59121,4,60
165,Rhonda Green,"Networking, Cybersecurity, Linux, Ethical Hacking",7,M.Tech,Google ML,Cybersecurity Analyst,Hire,117704,10,100
1522,Candidate 1522,"React, C++, Java, SQL",9,B.Tech,Deep Learning Specialization,Data Scientist,Reject,58238,2,56
993,Michael Dodson,"React, SQL",10,PhD,Deep Learning Specialization,Software Engineer,Hire,50166,10,100
259,Bryan Wright,"SQL, Machine Learning, Deep Learning",0,B.Tech,Deep Learning Specialization,Data Scientist,Reject,113435,2,35
1843,Candidate 1843,"Cybersecurity, Linux, Ethical Hacking",7,B.Sc,AWS Certified,Software Engineer,Hire,125629,2,72
387,Xavier Wheeler,"NLP, Pytorch, TensorFlow",1,B.Tech,AWS Certified,AI Researcher,Reject,60718,1,40
848,Nicole Martinez,"Python, SQL, Deep Learning",2,PhD,AWS Certified,Data Scientist,Hire,82119,8,85
574,Billy Baker,"Python, TensorFlow, Pytorch",1,B.Sc,Deep Learning Specialization,AI Researcher,Hire,85905,7,70
1234,Candidate 1234,"NLP, Pytorch, TensorFlow",5,B.Sc,AWS Certified,Software Engineer,Hire,107299,18,18
1613,Candidate 1613,"Java, C++, React",19,MBA,None,Cybersecurity Analyst,Hire,115512,14,7
1102,Candidate 1102,"TensorFlow, NLP, Python",8,MBA,Google ML,Software Engineer,Hire,141559,18,60
862,Chelsea Weaver,"TensorFlow, Pytorch, Python, NLP",6,PhD,AWS Certified,AI Researcher,Hire,109248,8,100
1624,Candidate 1624,"C++, React, SQL, Java",6,B.Sc,AWS Certified,Software Engineer,Hire,76334,2,71
1002,Candidate 1002,"Cybersecurity, Networking, Linux, Ethical Hacking",20,B.Sc,Google ML,Cybersecurity Analyst,Hire,100885,8,62
210,Thomas Thompson,"Python, NLP, TensorFlow",2,M.Tech,Google ML,AI Researcher,Hire,90388,4,65
1621,Candidate 1621,"Pytorch, TensorFlow, NLP",6,B.Tech,None,Software Engineer,Reject,108527,2,90
92,Melissa Salinas,"Pytorch, TensorFlow, Python",4,MBA,Google ML,AI Researcher,Hire,67536,6,95
1949,Candidate 1949,"C++, React",4,B.Sc,None,AI Researcher,Hire,141601,10,45
911,Erin Hull,"Machine Learning, Deep Learning",6,PhD,AWS Certified,Data Scientist,Hire,117600,0,80
1719,Candidate 1719,"SQL, Python, Machine Learning, Deep Learning",15,MBA,Google ML,Data Scientist,Reject,138297,6,88
553,Timothy Duncan,"Python, TensorFlow, Pytorch, NLP",5,PhD,Google ML,AI Researcher,Hire,104955,0,80
985,Nicholas Wheeler,"SQL, Deep Learning",0,PhD,Deep Learning Specialization,Data Scientist,Reject,118976,8,60
164,Steven Johnson,"TensorFlow, NLP, Python",1,M.Tech,None,AI Researcher,Reject,76442,2,35
597,Samantha Smith,"Python, Machine Learning",8,B.Tech,Deep Learning Specialization,Data Scientist,Hire,95958,2,100
1951,Candidate 1951,"TensorFlow, Pytorch, Python, NLP",2,MBA,AWS Certified,Cybersecurity Analyst,Reject,39714,5,96
1765,Candidate 1765,"NLP, TensorFlow",13,PhD,AWS Certified,Software Engineer,Hire,66189,6,58
297,Robert Cook,"Networking, Linux, Ethical Hacking, Cybersecurity",2,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Reject,108144,2,60
1717,Candidate 1717,"Cybersecurity, Ethical Hacking, Linux, Networking",8,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,133080,2,64
508,Eric Bush,"Machine Learning, Python",5,B.Tech,Google ML,Data Scientist,Hire,91581,4,90
865,Joseph Gallagher,"Networking, Cybersecurity, Ethical Hacking",8,B.Tech,None,Cybersecurity Analyst,Hire,94140,4,100
8,Anthony Harrison,"TensorFlow, Pytorch, NLP",3,M.Tech,AWS Certified,AI Researcher,Hire,103006,7,90
253,Sherry Mcgrath,"TensorFlow, Python, Pytorch",8,PhD,None,AI Researcher,Hire,75976,1,100
1055,Candidate 1055,"Java, SQL, React, C++",17,B.Sc,Deep Learning Specialization,Data Scientist,Hire,85413,16,79
30,Steven Thomas,"SQL, Python",10,B.Tech,AWS Certified,Data Scientist,Hire,59926,4,100
149,Laurie Cervantes,"TensorFlow, NLP, Pytorch",6,B.Tech,Deep Learning Specialization,AI Researcher,Hire,63269,0,85
87,Heather Bauer,"SQL, Deep Learning, Python, Machine Learning",6,M.Tech,Deep Learning Specialization,Data Scientist,Hire,72143,10,100
1118,Candidate 1118,"Ethical Hacking, Linux",19,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,123784,14,99
551,Rebecca Kirby,"Python, Deep Learning, Machine Learning, SQL",9,B.Tech,Google ML,Data Scientist,Hire,64063,9,100
1359,Candidate 1359,"Python, NLP",2,B.Tech,Deep Learning Specialization,Data Scientist,Reject,79278,8,4
178,Terry Kaufman,"SQL, Deep Learning, Python, Machine Learning",8,B.Sc,Google ML,Data Scientist,Hire,118651,5,100
1854,Candidate 1854,"React, C++, Java, SQL",7,M.Tech,Google ML,Cybersecurity Analyst,Reject,109385,16,64
779,Matthew Smith,"Deep Learning, Machine Learning, Python",10,B.Tech,None,Data Scientist,Hire,58090,4,100
791,Kimberly Clark,"Java, C++, SQL",10,MBA,None,Software Engineer,Hire,53207,1,100
1335,Candidate 1335,"Linux, Cybersecurity",8,M.Tech,Google ML,Cybersecurity Analyst,Hire,53566,13,96
679,Cheryl Cruz,"React, SQL, C++",6,M.Tech,Google ML,Software Engineer,Hire,100827,10,100
1454,Candidate 1454,"Java, React, SQL, C++",18,M.Tech,Deep Learning Specialization,Data Scientist,Reject,54024,20,46
1013,Candidate 1013,"Linux, Cybersecurity",18,B.Sc,None,AI Researcher,Hire,48161,15,6
1437,Candidate 1437,"Pytorch, Python",12,B.Sc,Google ML,Software Engineer,Hire,54317,20,28
97,Dawn Tucker,"TensorFlow, NLP, Pytorch, Python",4,PhD,Deep Learning Specialization,AI Researcher,Hire,89633,2,80
44,Denise Ramirez,"Machine Learning, Python",1,MBA,Deep Learning Specialization,Data Scientist,Hire,50397,8,70
1815,Candidate 1815,"SQL, Deep Learning, Python",11,PhD,Google ML,AI Researcher,Hire,66832,19,79
1491,Candidate 1491,"Pytorch, NLP, Python",20,M.Tech,None,Data Scientist,Hire,139952,8,60
1229,Candidate 1229,"SQL, Machine Learning, Deep Learning",16,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,91710,11,1
760,Janice Mann,"Deep Learning, SQL",1,MBA,Google ML,Data Scientist,Reject,71365,6,60
1627,Candidate 1627,"Networking, Cybersecurity, Ethical Hacking, Linux",15,B.Tech,Google ML,AI Researcher,Hire,36179,3,33
19,Jonathon Pineda,"SQL, Python, Deep Learning",3,MBA,None,Data Scientist,Hire,112439,10,95
750,Christopher Smith,"C++, React, Java, SQL",1,M.Tech,None,Software Engineer,Reject,58823,3,45
1067,Candidate 1067,"Linux, Ethical Hacking",10,PhD,Deep Learning Specialization,Software Engineer,Reject,83276,5,96
26,Roy Huang,"Python, NLP",7,B.Tech,Deep Learning Specialization,AI Researcher,Hire,68447,10,100
303,Amber Dalton,"NLP, Python, TensorFlow, Pytorch",2,PhD,Deep Learning Specialization,AI Researcher,Hire,72948,10,100
1611,Candidate 1611,"Machine Learning, SQL, Python, Deep Learning",0,B.Tech,Deep Learning Specialization,Software Engineer,Hire,63185,7,34
680,Joseph Jackson,"Machine Learning, Python, Deep Learning, SQL",8,B.Sc,AWS Certified,Data Scientist,Hire,57448,0,100
1843,Candidate 1843,"Cybersecurity, Linux, Ethical Hacking",7,B.Sc,AWS Certified,Software Engineer,Hire,125629,2,72
645,Gregory Martin,"Cybersecurity, Networking, Ethical Hacking, Linux",9,PhD,AWS Certified,Cybersecurity Analyst,Hire,41733,0,100
1223,Candidate 1223,"Machine Learning, Python",12,B.Tech,Google ML,Software Engineer,Reject,99789,8,33
782,Dennis Hunt,"Python, SQL",0,B.Tech,Google ML,Data Scientist,Hire,76195,10,70
1668,Candidate 1668,"Ethical Hacking, Linux, Networking",16,M.Tech,None,AI Researcher,Hire,63359,17,27
1814,Candidate 1814,"C++, React, SQL",0,PhD,Deep Learning Specialization,Cybersecurity Analyst,Hire,55212,5,65
339,Jose Kirk,"Networking, Linux, Ethical Hacking, Cybersecurity",4,B.Tech,None,Cybersecurity Analyst,Reject,75555,0,60
1357,Candidate 1357,"TensorFlow, NLP, Python",12,PhD,Deep Learning Specialization,AI Researcher,Reject,38343,1,80
1616,Candidate 1616,"Machine Learning, Python, SQL",10,M.Tech,Google ML,Software Engineer,Hire,80923,3,80
1128,Candidate 1128,"Pytorch, Python, TensorFlow",18,MBA,None,AI Researcher,Reject,47760,14,0
383,David Wilkerson,"Pytorch, TensorFlow, NLP",8,B.Tech,AWS Certified,AI Researcher,Hire,80736,2,100
148,Joshua Hughes,"Python, Machine Learning",8,PhD,AWS Certified,Data Scientist,Hire,95978,4,100
884,Kristen West MD,"SQL, Machine Learning",9,PhD,AWS Certified,Data Scientist,Hire,119901,3,100
383,David Wilkerson,"Pytorch, TensorFlow, NLP",8,B.Tech,AWS Certified,AI Researcher,Hire,80736,2,100
836,Larry Moreno,"Java, SQL, C++",8,PhD,None,Software Engineer,Hire,59474,3,100
1338,Candidate 1338,"Ethical Hacking, Cybersecurity, Linux",11,M.Tech,AWS Certified,Data Scientist,Reject,56002,12,55
753,Melissa Preston,"React, C++, SQL, Java",9,PhD,Deep Learning Specialization,Software Engineer,Hire,68203,9,100
32,Logan Mcclure,"Ethical Hacking, Networking, Linux",1,B.Sc,None,Cybersecurity Analyst,Hire,58606,10,75
182,Stephen Nichols,"Machine Learning, Deep Learning, SQL, Python",1,PhD,None,Data Scientist,Hire,60495,7,65
35,Sandra Juarez,"Networking, Linux, Ethical Hacking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,47001,10,75
1608,Candidate 1608,"SQL, Python, Machine Learning, Deep Learning",17,MBA,AWS Certified,Data Scientist,Reject,124212,4,81
611,Kelly Scott,"Java, React, C++, SQL",5,MBA,Google ML,Software Engineer,Hire,87525,1,85
571,Michael Smith,"TensorFlow, Python, NLP, Pytorch",9,MBA,None,AI Researcher,Hire,87232,0,100
344,Stephanie Mosley,"Cybersecurity, Networking",3,MBA,None,Cybersecurity Analyst,Hire,55213,9,85
1886,Candidate 1886,"C++, Java",17,B.Sc,None,Software Engineer,Reject,137662,8,78
1651,Candidate 1651,"Java, C++, React, SQL",14,PhD,AWS Certified,Data Scientist,Hire,78096,8,70
1039,Candidate 1039,"Linux, Ethical Hacking, Cybersecurity, Networking",18,M.Tech,Google ML,AI Researcher,Reject,64032,10,96
497,Darrell Morris,"Linux, Ethical Hacking, Cybersecurity, Networking",7,B.Tech,AWS Certified,Cybersecurity Analyst,Hire,61624,1,100
1048,Candidate 1048,"NLP, Python, Pytorch, TensorFlow",13,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,143244,3,36
1629,Candidate 1629,"Linux, Ethical Hacking, Networking",16,B.Sc,AWS Certified,Software Engineer,Reject,78055,3,77
1072,Candidate 1072,"Deep Learning, Machine Learning, Python, SQL",8,B.Tech,Google ML,Cybersecurity Analyst,Reject,42305,2,84
1812,Candidate 1812,"Python, Machine Learning, Deep Learning",10,M.Tech,Deep Learning Specialization,AI Researcher,Reject,97841,8,66
1487,Candidate 1487,"NLP, TensorFlow",11,MBA,Google ML,Cybersecurity Analyst,Hire,66267,0,52
